=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     ADDER    Jul 29 08:53:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     182 (182) (0 property flop bits)   4 (4)     3394 (3394)   6920   13      1648        950             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             480    6226        0
[2]     SA1          0             550    6156        0
[3]     Total        0             1030   12382       0


********************************************************************************************

---[ <SA0> ]-----------------------------------------------------------
-----------------------------------------------------------------------
 Num  | Node                                          | Classification 
-----------------------------------------------------------------------
[1]     MSB_stage_1[0]                                  Dangerous
[2]     MSB_stage_1[1]                                  Dangerous
[3]     MSB_stage_1[2]                                  Dangerous
[4]     MSB_stage_1[3]                                  Dangerous
[5]     MSB_stage_1[4]                                  Dangerous
[6]     MSB_stage_1[5]                                  Dangerous
[7]     MSB_stage_1[6]                                  Dangerous
[8]     MSB_stage_1[7]                                  Dangerous
[9]     MSB_stage_1[8]                                  Dangerous
[10]    MSB_stage_1[9]                                  Dangerous
[11]    MSB_stage_1[10]                                 Dangerous
[12]    MSB_stage_1[11]                                 Dangerous
[13]    MSB_stage_1[12]                                 Dangerous
[14]    MSB_stage_1[13]                                 Dangerous
[15]    MSB_stage_1[14]                                 Dangerous
[16]    MSB_stage_1[15]                                 Dangerous
[17]    MSB_stage_2[0]                                  Dangerous
[18]    MSB_stage_2[1]                                  Dangerous
[19]    MSB_stage_2[2]                                  Dangerous
[20]    MSB_stage_2[3]                                  Dangerous
[21]    MSB_stage_2[4]                                  Dangerous
[22]    MSB_stage_2[5]                                  Dangerous
[23]    MSB_stage_2[6]                                  Dangerous
[24]    MSB_stage_2[7]                                  Dangerous
[25]    MSB_stage_2[8]                                  Dangerous
[26]    MSB_stage_2[9]                                  Dangerous
[27]    MSB_stage_2[10]                                 Dangerous
[28]    MSB_stage_2[11]                                 Dangerous
[29]    MSB_stage_2[12]                                 Dangerous
[30]    MSB_stage_2[13]                                 Dangerous
[31]    MSB_stage_2[14]                                 Dangerous
[32]    MSB_stage_2[15]                                 Dangerous
[33]    N109                                            Dangerous
[34]    N110                                            Dangerous
[35]    N59                                             Dangerous
[36]    N60                                             Dangerous
[37]    N62                                             Dangerous
[38]    U1000.A1                                        Dangerous
[39]    U1000.A2                                        Dangerous
[40]    U1000.B1                                        Dangerous
[41]    U1000.B2                                        Dangerous
[42]    U1000.ZN                                        Dangerous
[43]    U1000.i_0                                       Dangerous
[44]    U1000.i_1                                       Dangerous
[45]    U1000.i_2                                       Dangerous
[46]    U1001.A1                                        Dangerous
[47]    U1001.A2                                        Dangerous
[48]    U1001.ZN                                        Dangerous
[49]    U1001.i_18                                      Dangerous
[50]    U1001.i_19                                      Dangerous
[51]    U1001.i_20                                      Dangerous
[52]    U1001.i_21                                      Dangerous
[53]    U1001.i_22                                      Dangerous
[54]    U1002.I                                         Dangerous
[55]    U1002.ZN                                        Dangerous
[56]    U1003.A1                                        Dangerous
[57]    U1003.A2                                        Dangerous
[58]    U1003.B1                                        Dangerous
[59]    U1003.B2                                        Dangerous
[60]    U1003.ZN                                        Dangerous
[61]    U1003.i_0                                       Dangerous
[62]    U1003.i_1                                       Dangerous
[63]    U1003.i_2                                       Dangerous
[64]    U1004.A1                                        Dangerous
[65]    U1004.A2                                        Dangerous
[66]    U1004.Z                                         Dangerous
[67]    U1004.i_18                                      Dangerous
[68]    U1004.i_19                                      Dangerous
[69]    U1004.i_20                                      Dangerous
[70]    U1004.i_21                                      Dangerous
[71]    U1005.A1                                        Dangerous
[72]    U1005.A2                                        Dangerous
[73]    U1005.ZN                                        Dangerous
[74]    U1005.i_24                                      Dangerous
[75]    U1006.A1                                        Dangerous
[76]    U1006.A2                                        Dangerous
[77]    U1006.A3                                        Dangerous
[78]    U1006.Z                                         Dangerous
[79]    U1006.i_0                                       Dangerous
[80]    U1007.A1                                        Dangerous
[81]    U1007.A2                                        Dangerous
[82]    U1007.B                                         Dangerous
[83]    U1007.ZN                                        Dangerous
[84]    U1007.i_0                                       Dangerous
[85]    U1007.i_1                                       Dangerous
[86]    U1008.A1                                        Dangerous
[87]    U1008.A2                                        Dangerous
[88]    U1008.ZN                                        Dangerous
[89]    U1008.i_24                                      Dangerous
