=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     COMPARATOR   Jul 29 09:29:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]----------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                          | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     78 (78) (0 property flop bits)   0 (0)     1041 (1041)   2255   11      592         312             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             158    2011        0
[2]     SA1          0             156    2013        0
[3]     Total        0             314    4024        0


********************************************************************************************

---[ <SA0> ]-----------------------------------------------------
-----------------------------------------------------------------
 Num  | Node                                    | Classification 
-----------------------------------------------------------------
[1]     MSB_stage_2[0]                            Dangerous
[2]     MSB_stage_2[1]                            Dangerous
[3]     MSB_stage_2[2]                            Dangerous
[4]     MSB_stage_2[3]                            Dangerous
[5]     MSB_stage_2[4]                            Dangerous
[6]     MSB_stage_2[5]                            Dangerous
[7]     MSB_stage_2[6]                            Dangerous
[8]     MSB_stage_2[7]                            Dangerous
[9]     MSB_stage_2[8]                            Dangerous
[10]    MSB_stage_2[9]                            Dangerous
[11]    MSB_stage_2[10]                           Dangerous
[12]    MSB_stage_2[11]                           Dangerous
[13]    MSB_stage_2[12]                           Dangerous
[14]    MSB_stage_2[13]                           Dangerous
[15]    MSB_stage_2[14]                           Dangerous
[16]    MSB_stage_2[15]                           Dangerous
[17]    MSB_stage_3[0]                            Dangerous
[18]    MSB_stage_3[1]                            Dangerous
[19]    MSB_stage_3[2]                            Dangerous
[20]    MSB_stage_3[3]                            Dangerous
[21]    MSB_stage_3[4]                            Dangerous
[22]    MSB_stage_3[5]                            Dangerous
[23]    MSB_stage_3[6]                            Dangerous
[24]    MSB_stage_3[7]                            Dangerous
[25]    MSB_stage_3[8]                            Dangerous
[26]    MSB_stage_3[9]                            Dangerous
[27]    MSB_stage_3[10]                           Dangerous
[28]    MSB_stage_3[11]                           Dangerous
[29]    MSB_stage_3[12]                           Dangerous
[30]    MSB_stage_3[13]                           Dangerous
[31]    MSB_stage_3[14]                           Dangerous
[32]    MSB_stage_3[15]                           Dangerous
[33]    MVTYPE_DSP[0]                             Dangerous
[34]    MVTYPE_DSP[1]                             Dangerous
[35]    U249.I                                    Dangerous
[36]    U249.ZN                                   Dangerous
[37]    U250.A1                                   Dangerous
[38]    U250.A2                                   Dangerous
[39]    U250.ZN                                   Dangerous
[40]    U250.i_12                                 Dangerous
[41]    U251.I                                    Dangerous
[42]    U251.ZN                                   Dangerous
[43]    U252.A1                                   Dangerous
[44]    U252.A2                                   Dangerous
[45]    U252.B                                    Dangerous
[46]    U252.ZN                                   Dangerous
[47]    U252.i_18                                 Dangerous
[48]    U252.i_19                                 Dangerous
[49]    U253.A1                                   Dangerous
[50]    U253.A2                                   Dangerous
[51]    U253.B                                    Dangerous
[52]    U253.ZN                                   Dangerous
[53]    U253.i_0                                  Dangerous
[54]    U253.i_1                                  Dangerous
[55]    U254.I                                    Dangerous
[56]    U254.ZN                                   Dangerous
[57]    U255.I                                    Dangerous
[58]    U255.ZN                                   Dangerous
[59]    U256.A1                                   Dangerous
[60]    U256.A2                                   Dangerous
[61]    U256.ZN                                   Dangerous
[62]    U256.i_24                                 Dangerous
[63]    U257.A1                                   Dangerous
[64]    U257.A2                                   Dangerous
[65]    U257.ZN                                   Dangerous
[66]    U257.i_12                                 Dangerous
[67]    U258.A1                                   Dangerous
[68]    U258.A2                                   Dangerous
[69]    U258.ZN                                   Dangerous
[70]    U258.i_24                                 Dangerous
[71]    U259.I                                    Dangerous
[72]    U259.ZN                                   Dangerous
[73]    U260.A1                                   Dangerous
[74]    U260.A2                                   Dangerous
[75]    U260.B1                                   Dangerous
