=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             466    41837       0
[2]     SA1          0             626    41677       0
[3]     Total        0             1092   83514       0


********************************************************************************************

---[ <SA0> ]-----------------------------------------------------
-----------------------------------------------------------------
 Num  | Node                                    | Classification 
-----------------------------------------------------------------
[1]     FUNCT_SELECT_MASK[0]                      Dangerous
[2]     FUNCT_SELECT_MASK[1]                      Dangerous
[3]     FUNCT_SELECT_MASK[2]                      Dangerous
[4]     FUNCT_SELECT_MASK[3]                      Dangerous
[5]     FUNCT_SELECT_MASK[4]                      Dangerous
[6]     FUNCT_SELECT_MASK[5]                      Dangerous
[7]     FUNCT_SELECT_MASK[6]                      Dangerous
[8]     FUNCT_SELECT_MASK[7]                      Dangerous
[9]     FUNCT_SELECT_MASK[8]                      Dangerous
[10]    FUNCT_SELECT_MASK[9]                      Dangerous
[11]    FUNCT_SELECT_MASK[10]                     Dangerous
[12]    FUNCT_SELECT_MASK[11]                     Dangerous
[13]    FUNCT_SELECT_MASK[12]                     Dangerous
[14]    FUNCT_SELECT_MASK[13]                     Dangerous
[15]    FUNCT_SELECT_MASK[14]                     Dangerous
[16]    FUNCT_SELECT_MASK[15]                     Dangerous
[17]    FUNCT_SELECT_MASK[16]                     Safe
[18]    FUNCT_SELECT_MASK[17]                     Safe
[19]    FUNCT_SELECT_MASK[18]                     Safe
[20]    FUNCT_SELECT_MASK[19]                     Safe
[21]    FUNCT_SELECT_MASK[20]                     Safe
[22]    FUNCT_SELECT_MASK[21]                     Safe
[23]    FUNCT_SELECT_MASK[22]                     Safe
[24]    FUNCT_SELECT_MASK[23]                     Safe
[25]    FUNCT_SELECT_MASK[24]                     Safe
[26]    FUNCT_SELECT_MASK[25]                     Safe
[27]    FUNCT_SELECT_MASK[26]                     Safe
[28]    FUNCT_SELECT_MASK[27]                     Safe
[29]    FUNCT_SELECT_MASK[28]                     Safe
[30]    FUNCT_SELECT_MASK[29]                     Safe
[31]    FUNCT_SELECT_MASK[30]                     Safe
[32]    FUNCT_SELECT_MASK[31]                     Safe
[33]    MVTYPE_DSP[0]                             Dangerous
[34]    MVTYPE_DSP[1]                             Dangerous
[35]    U1000.A1                                  Dangerous
[36]    U1000.A2                                  Dangerous
[37]    U1000.Z                                   Dangerous
[38]    U1000.i_18                                Dangerous
[39]    U1000.i_19                                Dangerous
[40]    U1000.i_20                                Dangerous
[41]    U1000.i_21                                Dangerous
[42]    U1001.A1                                  Dangerous
[43]    U1001.A2                                  Dangerous
[44]    U1001.Z                                   Dangerous
[45]    U1001.i_18                                Dangerous
[46]    U1001.i_19                                Dangerous
[47]    U1001.i_20                                Dangerous
[48]    U1001.i_21                                Dangerous
