=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      May 26 09:58:51 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     43353 (44457)   100500   35      24390       15667           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             1418   0           52053
[2]     SA1          0             2466   0           51005
[3]     Total        0             3884   0           103058


********************************************************************************************

---[ <SA0> ]---------------------------------------------------------------------
---------------------------------------------------------------------------------
 Num  | Node                                                    | Classification 
---------------------------------------------------------------------------------
[1]     SHIF_STG.U865.A1                                          Unknown
[2]     SHIF_STG.U865.A2                                          Unknown
[3]     SHIF_STG.U865.B1                                          Unknown
[4]     SHIF_STG.U865.X                                           Unknown
[5]     SHIF_STG.U1604.A1                                         Unknown
[6]     SHIF_STG.U1604.A2                                         Unknown
[7]     SHIF_STG.U1604.B1                                         Unknown
[8]     SHIF_STG.U1604.X                                          Unknown
[9]     SHIF_STG.U1610.A1                                         Unknown
[10]    SHIF_STG.U1610.A2                                         Unknown
[11]    SHIF_STG.U1610.B1                                         Unknown
[12]    SHIF_STG.U1610.X                                          Unknown
[13]    SHIF_STG.U1612.A1                                         Unknown
[14]    SHIF_STG.U1612.A2                                         Unknown
[15]    SHIF_STG.U1612.B1                                         Unknown
[16]    SHIF_STG.U1612.X                                          Unknown
[17]    MULT_STG.U4864.A1                                         Unknown
[18]    MULT_STG.U4864.A2                                         Unknown
[19]    MULT_STG.U4864.B1                                         Unknown
[20]    MULT_STG.U4864.X                                          Unknown
[21]    MULT_STG.U4896.A1                                         Unknown
[22]    MULT_STG.U4896.A2                                         Unknown
[23]    MULT_STG.U4896.B1                                         Unknown
[24]    MULT_STG.U4896.X                                          Unknown
[25]    MULT_STG.U5449.A1                                         Unknown
[26]    MULT_STG.U5449.A2                                         Unknown
[27]    MULT_STG.U5449.B1                                         Unknown
[28]    MULT_STG.U5449.X                                          Unknown
[29]    MULT_STG.U5759.A1                                         Unknown
[30]    MULT_STG.U5759.A2                                         Unknown
[31]    MULT_STG.U5759.B1                                         Unknown
[32]    MULT_STG.U5759.X                                          Unknown
[33]    MULT_STG.U6314.A1                                         Unknown
[34]    MULT_STG.U6314.A2                                         Unknown
[35]    MULT_STG.U6314.B1                                         Unknown
[36]    MULT_STG.U6314.X                                          Unknown
[37]    MULT_STG.U6346.A1                                         Unknown
[38]    MULT_STG.U6346.A2                                         Unknown
[39]    MULT_STG.U6346.B1                                         Unknown
[40]    MULT_STG.U6346.X                                          Unknown
[41]    MULT_STG.U6899.A1                                         Unknown
[42]    MULT_STG.U6899.A2                                         Unknown
[43]    MULT_STG.U6899.B1                                         Unknown
[44]    MULT_STG.U6899.X                                          Unknown
[45]    MULT_STG.U7209.A1                                         Unknown
[46]    MULT_STG.U7209.A2                                         Unknown
[47]    MULT_STG.U7209.B1                                         Unknown
[48]    MULT_STG.U7209.X                                          Unknown
[49]    ACCUM_STG.U525.A1                                         Unknown
[50]    ACCUM_STG.U525.A2                                         Unknown
[51]    ACCUM_STG.U525.B1                                         Unknown
[52]    ACCUM_STG.U525.X                                          Unknown
[53]    ACCUM_STG.U536.A1                                         Unknown
[54]    ACCUM_STG.U536.A2                                         Unknown
[55]    ACCUM_STG.U536.B1                                         Unknown
[56]    ACCUM_STG.U536.X                                          Unknown
[57]    ACCUM_STG.U548.A1                                         Unknown
[58]    ACCUM_STG.U548.A2                                         Unknown
[59]    ACCUM_STG.U548.B1                                         Unknown
[60]    ACCUM_STG.U548.X                                          Unknown
[61]    ACCUM_STG.U556.A1                                         Unknown
[62]    ACCUM_STG.U556.A2                                         Unknown
[63]    ACCUM_STG.U556.B1                                         Unknown
[64]    ACCUM_STG.U556.X                                          Unknown
[65]    ACCUM_STG.U577.A1                                         Unknown
[66]    ACCUM_STG.U577.A2                                         Unknown
[67]    ACCUM_STG.U577.B1                                         Unknown
[68]    ACCUM_STG.U577.X                                          Unknown
[69]    ACCUM_STG.U590.A1                                         Unknown
[70]    ACCUM_STG.U590.A2                                         Unknown
[71]    ACCUM_STG.U590.B1                                         Unknown
[72]    ACCUM_STG.U590.X                                          Unknown
[73]    ACCUM_STG.U602.A1                                         Unknown
