=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Oct 02 05:59:39 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]-----------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     49112 (49112)   93483   35      18371       11808           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             725    0           41117
[2]     SA1          0             1732   0           40110
[3]     Total        0             2457   0           81227


********************************************************************************************

---[ <SA0> ]-----------------------------------------------------------------
-----------------------------------------------------------------------------
 Num  | Node                                                | Classification 
-----------------------------------------------------------------------------
[1]     SHIF_STG.U1034.A1                                     Unknown
[2]     SHIF_STG.U1034.A2                                     Unknown
[3]     SHIF_STG.U1034.Z                                      Unknown
[4]     SHIF_STG.U1407.A1                                     Unknown
[5]     SHIF_STG.U1407.A2                                     Unknown
[6]     SHIF_STG.U1407.Z                                      Unknown
[7]     SHIF_STG.U1433.A1                                     Unknown
[8]     SHIF_STG.U1433.A2                                     Unknown
[9]     SHIF_STG.U1433.Z                                      Unknown
[10]    SHIF_STG.U1557.A1                                     Unknown
[11]    SHIF_STG.U1557.A2                                     Unknown
[12]    SHIF_STG.U1557.Z                                      Unknown
[13]    SHIF_STG.U1635.A1                                     Unknown
[14]    SHIF_STG.U1635.A2                                     Unknown
[15]    SHIF_STG.U1635.Z                                      Unknown
[16]    SHIF_STG.U1650.A1                                     Unknown
[17]    SHIF_STG.U1650.A2                                     Unknown
[18]    SHIF_STG.U1650.Z                                      Unknown
[19]    COMP_STG.U446.A1                                      Unknown
[20]    COMP_STG.U446.A2                                      Unknown
[21]    COMP_STG.U446.Z                                       Unknown
[22]    ADD_STG.U398.A1                                       Unknown
[23]    ADD_STG.U398.A2                                       Unknown
[24]    ADD_STG.U398.Z                                        Unknown
[25]    ADD_STG.U1000.A1                                      Unknown
[26]    ADD_STG.U1000.A2                                      Unknown
[27]    ADD_STG.U1000.Z                                       Unknown
[28]    MULT_STG.U996.A1                                      Unknown
[29]    MULT_STG.U996.A2                                      Unknown
[30]    MULT_STG.U996.Z                                       Unknown
[31]    MULT_STG.U1023.A1                                     Unknown
[32]    MULT_STG.U1023.A2                                     Unknown
[33]    MULT_STG.U1023.Z                                      Unknown
[34]    MULT_STG.U1050.A1                                     Unknown
[35]    MULT_STG.U1050.A2                                     Unknown
[36]    MULT_STG.U1050.Z                                      Unknown
[37]    MULT_STG.U1239.A1                                     Unknown
[38]    MULT_STG.U1239.A2                                     Unknown
[39]    MULT_STG.U1239.Z                                      Unknown
[40]    MULT_STG.U1439.A1                                     Unknown
[41]    MULT_STG.U1439.A2                                     Unknown
[42]    MULT_STG.U1439.Z                                      Unknown
[43]    MULT_STG.U1479.A1                                     Unknown
[44]    MULT_STG.U1479.A2                                     Unknown
[45]    MULT_STG.U1479.Z                                      Unknown
[46]    MULT_STG.U1489.A1                                     Unknown
[47]    MULT_STG.U1489.A2                                     Unknown
[48]    MULT_STG.U1489.Z                                      Unknown
[49]    MULT_STG.U1503.A1                                     Unknown
[50]    MULT_STG.U1503.A2                                     Unknown
[51]    MULT_STG.U1503.Z                                      Unknown
[52]    MULT_STG.U1518.A1                                     Unknown
[53]    MULT_STG.U1518.A2                                     Unknown
[54]    MULT_STG.U1518.Z                                      Unknown
[55]    MULT_STG.U1538.A1                                     Unknown
[56]    MULT_STG.U1538.A2                                     Unknown
[57]    MULT_STG.U1538.Z                                      Unknown
[58]    MULT_STG.U1562.A1                                     Unknown
[59]    MULT_STG.U1562.A2                                     Unknown
[60]    MULT_STG.U1562.Z                                      Unknown
[61]    MULT_STG.U1582.A1                                     Unknown
[62]    MULT_STG.U1582.A2                                     Unknown
[63]    MULT_STG.U1582.Z                                      Unknown
[64]    MULT_STG.U1604.A1                                     Unknown
[65]    MULT_STG.U1604.A2                                     Unknown
[66]    MULT_STG.U1604.Z                                      Unknown
[67]    MULT_STG.U1695.A1                                     Unknown
[68]    MULT_STG.U1695.A2                                     Unknown
[69]    MULT_STG.U1695.Z                                      Unknown
[70]    MULT_STG.U1706.A1                                     Unknown
[71]    MULT_STG.U1706.A2                                     Unknown
[72]    MULT_STG.U1706.Z                                      Unknown
[73]    MULT_STG.U1767.A1                                     Unknown
