=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Jun 05 05:29:06 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1854 (1854) (0 property flop bits)   0 (0)     78854 (80805)   182896   35      44206       28722           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2048   0           96452
[2]     SA1          0             3978   0           94522
[3]     Total        0             6026   0           190974


********************************************************************************************

---[ <SA0> ]----------------------------------------------------------------------
----------------------------------------------------------------------------------
 Num  | Node                                                     | Classification 
----------------------------------------------------------------------------------
[1]     SHIF_STG.U1860.A1                                          Unknown
[2]     SHIF_STG.U1860.A2                                          Unknown
[3]     SHIF_STG.U1860.B1                                          Unknown
[4]     SHIF_STG.U1860.X                                           Unknown
[5]     SHIF_STG.U1868.A1                                          Unknown
[6]     SHIF_STG.U1868.A2                                          Unknown
[7]     SHIF_STG.U1868.B1                                          Unknown
[8]     SHIF_STG.U1868.X                                           Unknown
[9]     SHIF_STG.U1884.A1                                          Unknown
[10]    SHIF_STG.U1884.A2                                          Unknown
[11]    SHIF_STG.U1884.B1                                          Unknown
[12]    SHIF_STG.U1884.X                                           Unknown
[13]    SHIF_STG.U2125.A1                                          Unknown
[14]    SHIF_STG.U2125.A2                                          Unknown
[15]    SHIF_STG.U2125.B1                                          Unknown
[16]    SHIF_STG.U2125.X                                           Unknown
[17]    SHIF_STG.U2133.A1                                          Unknown
[18]    SHIF_STG.U2133.A2                                          Unknown
[19]    SHIF_STG.U2133.B1                                          Unknown
[20]    SHIF_STG.U2133.X                                           Unknown
[21]    SHIF_STG.U2150.A1                                          Unknown
[22]    SHIF_STG.U2150.A2                                          Unknown
[23]    SHIF_STG.U2150.B1                                          Unknown
[24]    SHIF_STG.U2150.X                                           Unknown
[25]    SHIF_STG.U2389.A1                                          Unknown
[26]    SHIF_STG.U2389.A2                                          Unknown
[27]    SHIF_STG.U2389.B1                                          Unknown
[28]    SHIF_STG.U2389.X                                           Unknown
[29]    SHIF_STG.U2397.A1                                          Unknown
[30]    SHIF_STG.U2397.A2                                          Unknown
[31]    SHIF_STG.U2397.B1                                          Unknown
[32]    SHIF_STG.U2397.X                                           Unknown
[33]    SHIF_STG.U2414.A1                                          Unknown
[34]    SHIF_STG.U2414.A2                                          Unknown
[35]    SHIF_STG.U2414.B1                                          Unknown
[36]    SHIF_STG.U2414.X                                           Unknown
[37]    SHIF_STG.U2634.A1                                          Unknown
[38]    SHIF_STG.U2634.A2                                          Unknown
[39]    SHIF_STG.U2634.B1                                          Unknown
[40]    SHIF_STG.U2634.X                                           Unknown
[41]    SHIF_STG.U2642.A1                                          Unknown
[42]    SHIF_STG.U2642.A2                                          Unknown
[43]    SHIF_STG.U2642.B1                                          Unknown
[44]    SHIF_STG.U2642.X                                           Unknown
[45]    SHIF_STG.U2658.A1                                          Unknown
[46]    SHIF_STG.U2658.A2                                          Unknown
[47]    SHIF_STG.U2658.B1                                          Unknown
[48]    SHIF_STG.U2658.X                                           Unknown
[49]    SHIF_STG.U2704.A1                                          Unknown
[50]    SHIF_STG.U2704.A2                                          Unknown
[51]    SHIF_STG.U2704.B1                                          Unknown
[52]    SHIF_STG.U2704.X                                           Unknown
[53]    COMP_STG.U566.A1                                           Unknown
[54]    COMP_STG.U566.A2                                           Unknown
[55]    COMP_STG.U566.B1                                           Unknown
[56]    COMP_STG.U566.X                                            Unknown
[57]    MULT_STG.U9730.A1                                          Unknown
[58]    MULT_STG.U9730.A2                                          Unknown
[59]    MULT_STG.U9730.B1                                          Unknown
[60]    MULT_STG.U9730.X                                           Unknown
[61]    MULT_STG.U9763.A1                                          Unknown
[62]    MULT_STG.U9763.A2                                          Unknown
[63]    MULT_STG.U9763.B1                                          Unknown
[64]    MULT_STG.U9763.X                                           Unknown
[65]    MULT_STG.U10619.A1                                         Unknown
[66]    MULT_STG.U10619.A2                                         Unknown
[67]    MULT_STG.U10619.B1                                         Unknown
[68]    MULT_STG.U10619.X                                          Unknown
[69]    MULT_STG.U10959.A1                                         Unknown
[70]    MULT_STG.U10959.A2                                         Unknown
[71]    MULT_STG.U10959.B1                                         Unknown
[72]    MULT_STG.U10959.X                                          Unknown
