=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Oct 23 10:20:53 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]--------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates           | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     3237 (3237) (0 property flop bits)   0 (0)     144107 (144107)   272240   35      54096       34030           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2366   0           120291
[2]     SA1          0             5369   0           117288
[3]     Total        0             7735   0           237579


********************************************************************************************

---[ <SA0> ]------------------------------------------------------------------
------------------------------------------------------------------------------
 Num  | Node                                                 | Classification 
------------------------------------------------------------------------------
[1]     SHIF_STG.U2753.A1                                      Unknown
[2]     SHIF_STG.U2753.A2                                      Unknown
[3]     SHIF_STG.U2753.Z                                       Unknown
[4]     SHIF_STG.U2959.A1                                      Unknown
[5]     SHIF_STG.U2959.A2                                      Unknown
[6]     SHIF_STG.U2959.Z                                       Unknown
[7]     SHIF_STG.U3704.A1                                      Unknown
[8]     SHIF_STG.U3704.A2                                      Unknown
[9]     SHIF_STG.U3704.Z                                       Unknown
[10]    COMP_STG.U1058.A1                                      Unknown
[11]    COMP_STG.U1058.A2                                      Unknown
[12]    COMP_STG.U1058.Z                                       Unknown
[13]    COMP_STG.U1123.A1                                      Unknown
[14]    COMP_STG.U1123.A2                                      Unknown
[15]    COMP_STG.U1123.Z                                       Unknown
[16]    COMP_STG.U1143.A1                                      Unknown
[17]    COMP_STG.U1143.A2                                      Unknown
[18]    COMP_STG.U1143.Z                                       Unknown
[19]    COMP_STG.U1329.A1                                      Unknown
[20]    COMP_STG.U1329.A2                                      Unknown
[21]    COMP_STG.U1329.Z                                       Unknown
[22]    ADD_STG.U1171.A1                                       Unknown
[23]    ADD_STG.U1171.A2                                       Unknown
[24]    ADD_STG.U1171.Z                                        Unknown
[25]    ADD_STG.U1250.A1                                       Unknown
[26]    ADD_STG.U1250.A2                                       Unknown
[27]    ADD_STG.U1250.Z                                        Unknown
[28]    ADD_STG.U1352.A1                                       Unknown
[29]    ADD_STG.U1352.A2                                       Unknown
[30]    ADD_STG.U1352.Z                                        Unknown
[31]    ADD_STG.U2623.A1                                       Unknown
[32]    ADD_STG.U2623.A2                                       Unknown
[33]    ADD_STG.U2623.Z                                        Unknown
[34]    ADD_STG.U2898.A1                                       Unknown
[35]    ADD_STG.U2898.A2                                       Unknown
[36]    ADD_STG.U2898.Z                                        Unknown
[37]    ADD_STG.U3002.A1                                       Unknown
[38]    ADD_STG.U3002.A2                                       Unknown
[39]    ADD_STG.U3002.Z                                        Unknown
[40]    MULT_STG.U2406.A1                                      Unknown
[41]    MULT_STG.U2406.A2                                      Unknown
[42]    MULT_STG.U2406.Z                                       Unknown
[43]    MULT_STG.U2432.A1                                      Unknown
[44]    MULT_STG.U2432.A2                                      Unknown
[45]    MULT_STG.U2432.Z                                       Unknown
[46]    MULT_STG.U2456.A1                                      Unknown
[47]    MULT_STG.U2456.A2                                      Unknown
[48]    MULT_STG.U2456.Z                                       Unknown
[49]    MULT_STG.U2548.A1                                      Unknown
[50]    MULT_STG.U2548.A2                                      Unknown
[51]    MULT_STG.U2548.Z                                       Unknown
[52]    MULT_STG.U2561.A1                                      Unknown
[53]    MULT_STG.U2561.A2                                      Unknown
[54]    MULT_STG.U2561.Z                                       Unknown
[55]    MULT_STG.U2599.A1                                      Unknown
[56]    MULT_STG.U2599.A2                                      Unknown
[57]    MULT_STG.U2599.Z                                       Unknown
[58]    MULT_STG.U2605.A1                                      Unknown
[59]    MULT_STG.U2605.A2                                      Unknown
[60]    MULT_STG.U2605.Z                                       Unknown
[61]    MULT_STG.U2611.A1                                      Unknown
[62]    MULT_STG.U2611.A2                                      Unknown
[63]    MULT_STG.U2611.Z                                       Unknown
[64]    MULT_STG.U2633.A1                                      Unknown
[65]    MULT_STG.U2633.A2                                      Unknown
[66]    MULT_STG.U2633.Z                                       Unknown
[67]    MULT_STG.U2656.A1                                      Unknown
[68]    MULT_STG.U2656.A2                                      Unknown
[69]    MULT_STG.U2656.Z                                       Unknown
[70]    MULT_STG.U3006.A1                                      Unknown
[71]    MULT_STG.U3006.A2                                      Unknown
[72]    MULT_STG.U3006.Z                                       Unknown
[73]    MULT_STG.U3017.A1                                      Unknown
