   18755 ns  	00000080_02C0006F    jal x0,0x00002C		next_pc=000000AC
   18785 ns  	000000AC_09400E93    addi x29,x0,0x094		rs1=0x00000000      new_rd=0x00000094
   18835 ns  	000000B0_305E9073    csrw x0,x29,mtvec		rs1=0x00000094
   18905 ns  	000000B4_00000093    addi x1,x0,0x000		rs1=0x00000000      new_rd=0x00000000
   18935 ns  	000000B8_00008113    addi x2,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   18965 ns  	000000BC_00008193    addi x3,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   18995 ns  	000000C0_00008213    addi x4,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19025 ns  	000000C4_00008293    addi x5,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19055 ns  	000000C8_00008313    addi x6,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19085 ns  	000000CC_00008393    addi x7,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19115 ns  	000000D0_00008413    addi x8,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19145 ns  	000000D4_00008493    addi x9,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19175 ns  	000000D8_00008513    addi x10,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19205 ns  	000000DC_00008593    addi x11,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19235 ns  	000000E0_00008613    addi x12,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19265 ns  	000000E4_00008693    addi x13,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19295 ns  	000000E8_00008713    addi x14,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19325 ns  	000000EC_00008793    addi x15,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19355 ns  	000000F0_00008813    addi x16,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19385 ns  	000000F4_00008893    addi x17,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19415 ns  	000000F8_00008913    addi x18,x1,0x000		rs1=0x00000000      new_rd=0x00000000
   19445 ns  	000000FC_00008993    addi x19,x1,0x000		rs1=0x00000000      new_rd=0x00000000
