Version("1.1")
Date("11/07/25 12:27:12")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:48176}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.dsp_we_word[1:0]";
            3 "DSP.dsp_sc_read_addr[27:0]";
            4 "DSP.dsp_to_sc[7:0]";
            5 "DSP.dsp_sc_data_write_wire[63:0]";
            6 "DSP.dsp_sc_write_addr[13:0]";
            7 "DSP.dsp_sci_we[3:0]";
            8 "DSP.dsp_sci_req[3:0]";
            9 "DSP.state_DSP[1:0]";
        }
    }
}

FaultList{

Total              ND              DD             NC              NO Scope
----- --------------- --------------- -------------- --------------- -----
82242 17337  (21.08%) 36758  (44.69%) 8767  (10.66%) 19380  (23.56%) DSP
32666 11424  (34.97%) 19053  (58.33%) 1232   (3.77%)   957   (2.93%) -MULT_STG
 7778   791  (10.17%)  1515  (19.48%) 1805  (23.21%)  3667  (47.15%) -SHIF_STG
 6528   438   (6.71%)  5008  (76.72%)  327   (5.01%)   755  (11.57%) -ADD_STG
 5243   200   (3.81%)  1062  (20.26%) 1158  (22.09%)  2823  (53.84%) -ACCUM_STG
   10    10 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U6006
   10    10 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U5906
   10     9  (90.00%)     0   (0.00%)    1  (10.00%)     0   (0.00%) -U6024
   10     9  (90.00%)     0   (0.00%)    1  (10.00%)     0   (0.00%) -U5896
   10     9  (90.00%)     0   (0.00%)    0   (0.00%)     1  (10.00%) -U5981
   10     9  (90.00%)     0   (0.00%)    0   (0.00%)     1  (10.00%) -U5928
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U6089
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U6087
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U6007
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U5897
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U5831
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -U5165
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_63_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_62_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_61_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_60_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_59_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_58_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_57_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_56_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_55_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_54_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_53_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_52_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_51_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_50_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_49_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_48_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_47_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_46_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_45_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_44_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_43_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_42_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_41_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_40_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_39_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_38_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_37_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_36_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_35_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_34_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_33_
