Version("1.1")
Date("09/23/25 11:31:44")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: V-2023.12 (64-bit, Nov 19 2023)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:47924}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.state_DSP[1:0]";
            3 "DSP.dsp_we_word[1:0]";
            4 "DSP.dsp_sc_read_addr[27:0]";
            5 "DSP.dsp_to_sc[7:0]";
            6 "DSP.dsp_sc_data_write_wire[63:0]";
            7 "DSP.dsp_sc_write_addr[13:0]";
            8 "DSP.dsp_sci_we[3:0]";
            9 "DSP.dsp_sci_req[3:0]";
        }
    }
}

FaultList{

Total             ND              DD            PD             NC             NO Scope
----- -------------- --------------- ------------- -------------- -------------- -----
82038 6078   (7.41%) 72410  (88.26%) 836   (1.02%) 1537   (1.87%) 1177   (1.43%) DSP
32508 1092   (3.36%) 30887  (95.01%) 415   (1.28%)   77   (0.24%)   37   (0.11%) -MULT_STG
 7708  663   (8.60%)  6764  (87.75%) 222   (2.88%)    0   (0.00%)   59   (0.77%) -SHIF_STG
 6552  466   (7.11%)  5470  (83.49%) 197   (3.01%)  273   (4.17%)  146   (2.23%) -ADD_STG
 5243  194   (3.70%)  5048  (96.28%)   0   (0.00%)    0   (0.00%)    1   (0.02%) -ACCUM_STG
 2234  124   (5.55%)  2088  (93.46%)   0   (0.00%)    0   (0.00%)   22   (0.98%) -COMP_STG
   10   10 (100.00%)     0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5686
   10    9  (90.00%)     0   (0.00%)   0   (0.00%)    1  (10.00%)    0   (0.00%) -U5809
   10    9  (90.00%)     0   (0.00%)   0   (0.00%)    1  (10.00%)    0   (0.00%) -U5219
   10    8  (80.00%)     0   (0.00%)   0   (0.00%)    1  (10.00%)    1  (10.00%) -U6947
    8    8 (100.00%)     0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U5667
