Version("1.1")
Date("09/27/25 16:58:03")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: V-2023.12 (64-bit, Nov 19 2023)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:86911}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.state_DSP[1:0]";
            3 "DSP.dsp_we_word[3:0]";
            4 "DSP.dsp_sc_read_addr[27:0]";
            5 "DSP.dsp_to_sc[7:0]";
            6 "DSP.dsp_sc_data_write_wire[127:0]";
            7 "DSP.dsp_sc_write_addr[13:0]";
            8 "DSP.dsp_sci_we[3:0]";
            9 "DSP.dsp_sci_req[3:0]";
        }
    }
}

FaultList{

 Total              ND               DD            PD             NC             NO Scope
------ --------------- ---------------- ------------- -------------- -------------- -----
148190 10684   (7.21%) 133228  (89.90%) 133   (0.09%) 2105   (1.42%) 2040   (1.38%) DSP
 65206  2024   (3.10%)  62806  (96.32%)   0   (0.00%)  289   (0.44%)   87   (0.13%) -MULT_STG
 13046  1266   (9.70%)  10869  (83.31%)   0   (0.00%)  561   (4.30%)  350   (2.68%) -ADD_STG
 13794  1048   (7.60%)  12628  (91.55%)   0   (0.00%)    0   (0.00%)  118   (0.86%) -SHIF_STG
  9753   348   (3.57%)   9273  (95.08%) 131   (1.34%)    0   (0.00%)    1   (0.01%) -ACCUM_STG
  4410   262   (5.94%)   4077  (92.45%)   0   (0.00%)    8   (0.18%)   63   (1.43%) -COMP_STG
    10     8  (80.00%)      2  (20.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9498
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9265
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8819
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_127_
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_95_
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -SIMD_RD_BYTES_reg_3_
    10     7  (70.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U11139
    10     7  (70.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8975
    10     7  (70.00%)      3  (30.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8801
     8     7  (87.50%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9014
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U10257
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U10215
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U10166
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U10065
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9938
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9890
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9849
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9808
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9779
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9687
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9550
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9474
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9328
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9302
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9290
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9288
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9286
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9284
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9282
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9280
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9277
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9275
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9273
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9271
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9269
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9267
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9263
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9254
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9248
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9244
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9242
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9240
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9228
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9226
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9224
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U9019
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8987
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8985
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8983
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8981
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8944
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8942
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8940
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8938
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8827
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8825
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8823
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8821
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8812
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8810
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8808
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8771
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8769
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8767
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8765
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8763
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8761
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8759
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8757
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8743
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8741
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8739
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8737
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8735
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8733
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8731
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8729
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8727
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8725
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8723
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8721
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8719
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8717
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8715
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8713
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8711
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8708
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8706
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8704
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8702
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8700
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8698
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8696
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8694
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8692
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8690
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8688
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8685
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8683
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8677
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8675
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8673
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8660
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8658
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8656
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8654
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8652
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8650
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8648
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8644
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8614
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8612
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8610
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8608
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8606
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8604
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U8602
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -MVSIZE_READ_MASK_reg_2_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -MVSIZE_READ_MASK_reg_11_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -MVSIZE_READ_MASK_reg_12_
