Version("1.1")
Date("09/26/25 19:19:17")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: V-2023.12 (64-bit, Nov 19 2023)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:163601}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.state_DSP[1:0]";
            3 "DSP.dsp_we_word[7:0]";
            4 "DSP.dsp_sc_read_addr[27:0]";
            5 "DSP.dsp_to_sc[7:0]";
            6 "DSP.dsp_sc_data_write_wire[255:0]";
            7 "DSP.dsp_sc_write_addr[13:0]";
            8 "DSP.dsp_sci_we[3:0]";
            9 "DSP.dsp_sci_req[3:0]";
        }
    }
}

FaultList{

 Total              ND               DD           PD             NC             NO Scope
------ --------------- ---------------- ------------ -------------- -------------- -----
277184 18893   (6.82%) 252021  (90.92%)  2   (0.00%) 3439   (1.24%) 2829   (1.02%) DSP
130282  3499   (2.69%) 125858  (96.60%)  0   (0.00%)  814   (0.62%)  111   (0.09%) -MULT_STG
 25798  2286   (8.86%)  21643  (83.89%)  0   (0.00%) 1171   (4.54%)  698   (2.71%) -ADD_STG
 24258  1910   (7.87%)  22156  (91.33%)  0   (0.00%)    0   (0.00%)  192   (0.79%) -SHIF_STG
 18477   744   (4.03%)  17728  (95.95%)  0   (0.00%)    0   (0.00%)    5   (0.03%) -ACCUM_STG
  8634   495   (5.73%)   7971  (92.32%)  0   (0.00%)   40   (0.46%)  128   (1.48%) -COMP_STG
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15683
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15663
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15551
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15090
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15056
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U14832
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_127_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_95_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_255_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_223_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_191_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_159_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -SIMD_RD_BYTES_reg_4_
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15813
    10     7  (70.00%)      3  (30.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15070
     8     7  (87.50%)      1  (12.50%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15198
     8     7  (87.50%)      1  (12.50%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15197
     8     7  (87.50%)      1  (12.50%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15167
     8     7  (87.50%)      0   (0.00%)  0   (0.00%)    0   (0.00%)    1  (12.50%) -U15657
    10     6  (60.00%)      4  (40.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15582
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16121
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16120
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16118
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16117
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16115
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16099
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16097
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16086
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16010
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16008
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16006
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16004
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16002
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U16001
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15999
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15998
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15935
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15930
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15928
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15920
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15919
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15917
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15915
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15896
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15825
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15823
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15821
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15820
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15818
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15812
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15810
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15808
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15806
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15775
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15755
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15753
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15751
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15744
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15742
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15740
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15736
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15697
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15695
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15693
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15691
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15689
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15687
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15685
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15678
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15676
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15674
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15672
