Version("1.1")
Date("11/20/25 16:44:56")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:142015}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[5:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[191:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD              NC              NO Scope
------ --------------- ---------------- --------------- --------------- -----
240602 51180  (21.27%) 109153  (45.37%) 25161  (10.46%) 55108  (22.90%) DSP
 98006 34276  (34.97%)  57163  (58.33%)  3696   (3.77%)  2871   (2.93%) -MULT_STG
 20074  1979   (9.86%)   4029  (20.07%)  4748  (23.65%)  9318  (46.42%) -SHIF_STG
 19320  1314   (6.80%)  15024  (77.76%)   981   (5.08%)  2001  (10.36%) -ADD_STG
 15729   600   (3.81%)   3186  (20.26%)  3474  (22.09%)  8469  (53.84%) -ACCUM_STG
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16904
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16888
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16652
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16087
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15552
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15296
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U14028
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U14027
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12859
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12857
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12670
    10    10 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12667
    10     9  (90.00%)      0   (0.00%)     1  (10.00%)     0   (0.00%) -U15290
    10     9  (90.00%)      0   (0.00%)     0   (0.00%)     1  (10.00%) -U12424
    10     9  (90.00%)      0   (0.00%)     0   (0.00%)     1  (10.00%) -U12399
    10     8  (80.00%)      0   (0.00%)     2  (20.00%)     0   (0.00%) -U16459
    10     8  (80.00%)      0   (0.00%)     2  (20.00%)     0   (0.00%) -U15545
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U16008
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U13854
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U13845
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U12594
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U12587
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U12428
    10     8  (80.00%)      0   (0.00%)     0   (0.00%)     2  (20.00%) -U12403
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16909
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U16061
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15994
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15553
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15511
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U15297
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12922
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12894
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12733
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12717
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12551
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -U12541
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_63_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_62_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_61_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_60_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_59_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_58_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_57_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_56_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_55_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_54_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_53_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_52_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_51_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_50_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_49_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_48_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_47_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_46_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_45_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_44_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_43_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_42_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_41_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_40_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_39_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_38_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_37_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_36_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_35_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_34_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_33_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_32_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_30_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_29_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_28_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_27_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_26_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_25_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_24_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_23_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_22_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_21_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_20_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_19_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_18_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_17_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_16_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_15_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_14_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_13_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_12_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_11_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_10_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_9_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_8_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_7_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_6_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_5_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_4_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_3_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_2_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_1_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_0_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_31_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -shift_en_reg_0_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -accum_en_reg_0_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -FUNCT_SELECT_MASK_reg_10_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -FUNCT_SELECT_MASK_reg_0_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_3_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_4_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_5_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_6_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MPSCLFAC_DSP_reg_2_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -MPSCLFAC_DSP_reg_0_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_127_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_126_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_125_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_124_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_123_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_122_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_121_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_120_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_119_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_118_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_117_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_116_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_115_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_114_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_113_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_112_
     8     8 (100.00%)      0   (0.00%)     0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_111_
