Version("1.1")
Date("10/30/25 23:25:57")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:256933}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[11:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[383:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD            PD             NC             NO Scope
------ --------------- ---------------- ------------- -------------- -------------- -----
434886 22957   (5.28%) 402684  (92.60%) 395   (0.09%) 2019   (0.46%) 6831   (1.57%) DSP
195618  5293   (2.71%) 189871  (97.06%)   0   (0.00%)   86   (0.04%)  368   (0.19%) -MULT_STG
 38434  2160   (5.62%)  36108  (93.95%)   0   (0.00%)    2   (0.01%)  164   (0.43%) -SHIF_STG
 35574  2125   (5.97%)  32351  (90.94%)   0   (0.00%)  530   (1.49%)  568   (1.60%) -ADD_STG
 29257   810   (2.77%)  28051  (95.88%) 389   (1.33%)    4   (0.01%)    3   (0.01%) -ACCUM_STG
 12546   568   (4.53%)  11813  (94.16%)   0   (0.00%)   55   (0.44%)  110   (0.88%) -COMP_STG
    10    10 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27148
    10     9  (90.00%)      1  (10.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28281
    10     8  (80.00%)      2  (20.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28813
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28843
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28806
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28283
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26891
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26582
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26569
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26340
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25616
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25563
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_127_
     8     8 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -dsp_sc_data_read_mask_reg_95_
