Version("1.1")
Date("11/30/25 23:27:38")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:481798}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[23:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[767:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD           PD             NC              NO Scope
------ --------------- ---------------- ------------ -------------- --------------- -----
816790 39245   (4.80%) 763105  (93.43%)  6   (0.00%) 2649   (0.32%) 11785   (1.44%) DSP
390846 10318   (2.64%) 379848  (97.19%)  0   (0.00%)   23   (0.01%)   657   (0.17%) -MULT_STG
 70612  3975   (5.63%)  64619  (91.51%)  0   (0.00%)  966   (1.37%)  1052   (1.49%) -ADD_STG
 72790  3806   (5.23%)  68687  (94.36%)  0   (0.00%)    4   (0.01%)   293   (0.40%) -SHIF_STG
 51013  1260   (2.47%)  49740  (97.50%)  0   (0.00%)   13   (0.03%)     0   (0.00%) -ACCUM_STG
 24426  1028   (4.21%)  23162  (94.83%)  0   (0.00%)  111   (0.45%)   125   (0.51%) -COMP_STG
    10    10 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36804
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U47325
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U47116
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U46403
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U45755
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40879
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40878
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40787
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40743
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40693
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U40523
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U39972
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U39826
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U39822
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U39703
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U38999
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U38901
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -U36790
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_255_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_223_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_191_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_159_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_127_
     8     8 (100.00%)      0   (0.00%)  0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_95_
